player_champion,player_lane,Taxa_Vitoria_Media,Popularidade
Thresh,BOTTOM,0.4805914972273567,541
Thresh,JUNGLE,0.2,5
Thresh,MIDDLE,0.6222222222222222,45
Thresh,NONE,0.47572815533980584,103
Thresh,TOP,0.4666666666666667,15
Tristana,BOTTOM,0.4485981308411215,107
Tristana,JUNGLE,0.42857142857142855,7
Tristana,MIDDLE,0.47115384615384615,104
Tristana,NONE,0.4772727272727273,44
Tristana,TOP,0.5555555555555556,18
Trundle,BOTTOM,1.0,1
Trundle,JUNGLE,0.6176470588235294,34
Trundle,MIDDLE,0.7777777777777778,9
Trundle,NONE,0.4782608695652174,23
Trundle,TOP,0.5238095238095238,105
Tryndamere,BOTTOM,0.0,1
Tryndamere,JUNGLE,0.6,20
Tryndamere,MIDDLE,0.9,10
Tryndamere,NONE,0.5555555555555556,36
Tryndamere,TOP,0.4936708860759494,79
TwistedFate,BOTTOM,0.4666666666666667,15
TwistedFate,JUNGLE,0.3333333333333333,15
TwistedFate,MIDDLE,0.4636363636363636,110
TwistedFate,NONE,0.3076923076923077,26
TwistedFate,TOP,0.358974358974359,39
Twitch,BOTTOM,0.46405228758169936,153
Twitch,JUNGLE,0.4090909090909091,22
Twitch,MIDDLE,0.6,15
Twitch,NONE,0.5384615384615384,39
Twitch,TOP,0.0,2
Udyr,BOTTOM,0.5,4
Udyr,JUNGLE,0.5,190
Udyr,MIDDLE,0.0,2
Udyr,NONE,0.5238095238095238,42
Udyr,TOP,0.3888888888888889,18
Urgot,JUNGLE,0.5,22
Urgot,MIDDLE,0.6666666666666666,6
Urgot,NONE,0.7692307692307693,13
Urgot,TOP,0.38461538461538464,78
Varus,BOTTOM,0.4880382775119617,418
Varus,JUNGLE,0.7333333333333333,15
Varus,MIDDLE,0.4222222222222222,45
Varus,NONE,0.5,82
Varus,TOP,0.5555555555555556,27
Vayne,BOTTOM,0.4756554307116105,267
Vayne,JUNGLE,0.6666666666666666,12
Vayne,MIDDLE,0.47619047619047616,21
Vayne,NONE,0.5283018867924528,53
Vayne,TOP,0.5576923076923077,52
