player_champion,player_lane,grupo_maestria,binary_win
Kaisa,MIDDLE,Baixa,0.5652173913043478
Kaisa,NONE,Alta,0.546875
Kaisa,NONE,Baixa,0.48484848484848486
Kaisa,TOP,Alta,0.4444444444444444
Kaisa,TOP,Baixa,0.375
Kalista,BOTTOM,Alta,0.58
Kalista,BOTTOM,Baixa,0.4111111111111111
Kalista,JUNGLE,Alta,0.3333333333333333
Kalista,JUNGLE,Baixa,0.75
Kalista,MIDDLE,Baixa,0.5
Kalista,NONE,Alta,0.8
Kalista,NONE,Baixa,0.42857142857142855
Kalista,TOP,Alta,0.0
Kalista,TOP,Baixa,0.0
Karma,BOTTOM,Alta,0.5067567567567568
Karma,BOTTOM,Baixa,0.5153374233128835
Karma,JUNGLE,Alta,0.6666666666666666
Karma,JUNGLE,Baixa,0.3333333333333333
Karma,MIDDLE,Alta,0.46153846153846156
Karma,MIDDLE,Baixa,0.6428571428571429
Karma,NONE,Alta,0.5606060606060606
Karma,NONE,Baixa,0.4418604651162791
Karma,TOP,Alta,0.45454545454545453
Karma,TOP,Baixa,0.2222222222222222
Karthus,BOTTOM,Alta,0.4
Karthus,BOTTOM,Baixa,0.25
Karthus,JUNGLE,Alta,0.4954954954954955
Karthus,JUNGLE,Baixa,0.4050632911392405
Karthus,MIDDLE,Alta,0.3333333333333333
Karthus,NONE,Alta,0.7916666666666666
Karthus,NONE,Baixa,0.6666666666666666
Karthus,TOP,Baixa,0.5
Kassadin,MIDDLE,Alta,0.6176470588235294
Kassadin,MIDDLE,Baixa,0.5084745762711864
Kassadin,NONE,Alta,0.5294117647058824
Kassadin,NONE,Baixa,0.1111111111111111
Kassadin,TOP,Alta,0.5714285714285714
Kassadin,TOP,Baixa,0.3333333333333333
Katarina,BOTTOM,Alta,0.42857142857142855
Katarina,JUNGLE,Alta,0.0
Katarina,MIDDLE,Alta,0.41935483870967744
Katarina,MIDDLE,Baixa,0.28205128205128205
Katarina,NONE,Alta,0.4782608695652174
Katarina,NONE,Baixa,0.5454545454545454
Katarina,TOP,Alta,0.2916666666666667
Katarina,TOP,Baixa,1.0
Kayle,JUNGLE,Alta,0.5
Kayle,JUNGLE,Baixa,0.8
Kayle,MIDDLE,Alta,0.16666666666666666
Kayle,MIDDLE,Baixa,0.2857142857142857
Kayle,NONE,Alta,0.5454545454545454
Kayle,NONE,Baixa,0.5714285714285714
Kayle,TOP,Alta,0.47058823529411764
Kayle,TOP,Baixa,0.5526315789473685
Kayn,BOTTOM,Alta,0.0
Kayn,BOTTOM,Baixa,0.0
Kayn,JUNGLE,Alta,0.5175438596491229
Kayn,JUNGLE,Baixa,0.4056603773584906
Kayn,MIDDLE,Baixa,1.0
Kayn,NONE,Alta,0.5217391304347826
Kayn,NONE,Baixa,0.15789473684210525
Kayn,TOP,Baixa,0.0
Kennen,BOTTOM,Baixa,0.0
Kennen,JUNGLE,Baixa,0.5555555555555556
Kennen,MIDDLE,Baixa,0.6666666666666666
Kennen,NONE,Baixa,0.47058823529411764
Kennen,TOP,Baixa,0.5121951219512195
Khazix,JUNGLE,Alta,0.4696969696969697
Khazix,JUNGLE,Baixa,0.5058823529411764
Khazix,NONE,Alta,0.5333333333333333
Khazix,NONE,Baixa,0.5384615384615384
Khazix,TOP,Alta,1.0
Khazix,TOP,Baixa,0.0
Kindred,BOTTOM,Alta,1.0
Kindred,JUNGLE,Alta,0.5416666666666666
