player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Nautilus,Counter 2,Karma,Karma,0.32153644303653284
Neeko,Counter 2,Samira,Samira,0.22849592589411588
Nidalee,Counter 2,Samira,Samira,0.22849592589411588
Nilah,Counter 2,Skarner,Skarner,0.19260059232586704
Nocturne,Counter 2,Samira,Samira,0.22849592589411588
Nunu,Counter 2,Skarner,Skarner,0.19260059232586704
Orianna,Counter 2,Kassadin,Kassadin,0.1916596224288532
Ornn,Counter 2,Rumble,Rumble,0.19362232318963088
Pantheon,Counter 2,Ekko,Ekko,0.25304609919994536
Poppy,Counter 2,Karma,Karma,0.32153644303653284
Pyke,Counter 2,Shen,Shen,0.19932483689880137
Qiyana,Counter 2,Ezreal,Ezreal,0.30124959583317457
Quinn,Counter 2,Xerath,Xerath,0.2052069725146648
Rakan,Counter 2,Kaisa,Kaisa,0.3827949882911398
Rammus,Counter 2,Renekton,Renekton,0.2223549954319185
Reksai,Counter 2,Draven,Draven,0.2626359942758536
Renata,Counter 2,Zac,Zac,0.2510727464168759
Renekton,Counter 2,Yasuo,Yasuo,0.259887597126546
Rengar,Counter 2,Diana,Diana,0.22480604277552269
Riven,Counter 2,Ekko,Ekko,0.25304609919994536
Rumble,Counter 2,Diana,Diana,0.22480604277552269
Ryze,Counter 2,Yorick,Yorick,0.19935357056010372
Samira,Counter 2,Yasuo,Yasuo,0.259887597126546
Sejuani,Counter 2,Yuumi,Yuumi,0.17517140978679444
Senna,Counter 2,Jhin,Jhin,0.3393983683119317
Seraphine,Counter 2,Jinx,Jinx,0.31526252000600563
Sett,Counter 2,Briar,Briar,0.13757396449704143
Shaco,Counter 2,Cassiopeia,Cassiopeia,0.16889264581572272
Shen,Counter 2,Briar,Briar,0.13757396449704143
Shyvana,Counter 2,Yuumi,Yuumi,0.17517140978679444
Singed,Counter 2,Zeri,Zeri,0.2159418936359874
Sion,Counter 2,Zeri,Zeri,0.2159418936359874
Sivir,Counter 2,Zeri,Zeri,0.2159418936359874
Skarner,Counter 2,Elise,Elise,0.18537381421996807
Sona,Counter 2,Fizz,Fizz,0.2153141730064807
Soraka,Counter 2,Briar,Briar,0.13757396449704143
Swain,Counter 2,Brand,Brand,0.1998456671533595
Sylas,Counter 2,Brand,Brand,0.1998456671533595
Syndra,Counter 2,Blitzcrank,Blitzcrank,0.17437541091387246
Tahmkench,Counter 2,Bard,Bard,0.17063961679346293
Taliyah,Counter 2,Bard,Bard,0.17063961679346293
Talon,Counter 2,Azir,Azir,0.194075795998873
Teemo,Counter 2,Camille,Camille,0.20356502828846537
Trundle,Counter 2,Aurora,Aurora,0.1863795545114226
Twistedfate,Counter 2,Garen,Garen,0.17777740841699355
Twitch,Counter 2,Aphelios,Aphelios,0.16663848971541279
Udyr,Counter 2,Ashe,Ashe,0.27697484744954537
Urgot,Counter 2,Fizz,Fizz,0.2153141730064807
Varus,Counter 2,Aphelios,Aphelios,0.16663848971541279
Vayne,Counter 2,Annie,Annie,0.18883434120120507
Veigar,Counter 2,Gangplank,Gangplank,0.15405235789851174
Velkoz,Counter 2,Amumu,Amumu,0.18893585047431197
Vex,Counter 2,Alistar,Alistar,0.25482783160297956
Vi,Counter 2,Ahri,Ahri,0.27786160551810823
Viego,Counter 2,Ahri,Ahri,0.27786160551810823
Viktor,Counter 2,Ivern,Ivern,0.21338661338661338
Vladimir,Counter 2,Heimerdinger,Heimerdinger,0.04043392504930967
Volibear,Counter 2,Hecarim,Hecarim,0.17426035502958578
Warwick,Counter 2,Garen,Garen,0.17777740841699355
Xayah,Counter 2,Hwei,Hwei,0.2569790170381886
Xerath,Counter 2,Heimerdinger,Heimerdinger,0.04043392504930967
Xinzhao,Counter 2,Irelia,Irelia,0.18630133382218647
