player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Gragas,BOTTOM,5.454545454545454,7.090909090909091,11.545454545454545,1513.909090909091,0.6363636363636364,1
Gragas,JUNGLE,7.17578125,6.15625,8.7265625,1564.7109375,0.48046875,1
Gragas,MIDDLE,7.09375,6.6875,7.875,1633.0625,0.40625,1
Gragas,NONE,1.990909090909091,2.209090909090909,2.2818181818181817,714.4545454545455,0.44545454545454544,3
Gragas,TOP,5.121212121212121,5.575757575757576,6.9818181818181815,1582.5757575757575,0.4727272727272727,1
Graves,BOTTOM,3.0,8.0,5.0,1513.0,0.0,1
Graves,JUNGLE,8.930656934306569,6.394160583941606,7.226277372262774,1626.8503649635036,0.4927007299270073,1
Graves,MIDDLE,6.0,7.5,4.5,1798.5,0.5,1
Graves,NONE,2.2280701754385963,2.4210526315789473,2.245614035087719,759.280701754386,0.42105263157894735,3
Graves,TOP,6.8,6.4,5.6,1756.6,0.4,1
Gwen,JUNGLE,8.164383561643836,6.410958904109589,6.397260273972603,1552.2602739726028,0.5068493150684932,1
Gwen,MIDDLE,6.615384615384615,6.076923076923077,4.076923076923077,1781.076923076923,0.6153846153846154,1
Gwen,NONE,2.0606060606060606,2.1515151515151514,1.5151515151515151,719.1515151515151,0.5757575757575758,3
Gwen,TOP,6.903225806451613,6.225806451612903,4.053763440860215,1544.967741935484,0.5268817204301075,1
Hecarim,JUNGLE,8.222222222222221,6.545454545454546,9.555555555555555,1581.3232323232323,0.5050505050505051,1
Hecarim,NONE,3.4705882352941178,2.1176470588235294,3.176470588235294,777.1764705882352,0.6470588235294118,3
Heimerdinger,BOTTOM,5.666666666666667,4.666666666666667,15.333333333333334,1169.3333333333333,0.6666666666666666,0
Heimerdinger,JUNGLE,4.333333333333333,5.333333333333333,5.0,1839.6666666666667,0.3333333333333333,1
Heimerdinger,MIDDLE,5.333333333333333,4.666666666666667,12.666666666666666,1613.3333333333333,0.6666666666666666,0
Heimerdinger,TOP,5.384615384615385,7.384615384615385,7.0,1747.1538461538462,0.38461538461538464,1
Hwei,BOTTOM,5.602564102564102,5.564102564102564,9.26923076923077,1635.474358974359,0.47435897435897434,1
Hwei,JUNGLE,11.5,8.5,19.5,1797.0,1.0,2
Hwei,MIDDLE,6.481049562682216,5.763848396501458,8.615160349854227,1588.7755102040817,0.5160349854227405,1
Hwei,NONE,2.3378378378378377,2.175675675675676,2.1621621621621623,777.4594594594595,0.5405405405405406,3
Hwei,TOP,6.709677419354839,4.709677419354839,7.67741935483871,1535.3870967741937,0.5806451612903226,1
Illaoi,JUNGLE,5.8,6.1,6.5,1832.9,0.8,2
Illaoi,MIDDLE,4.428571428571429,7.142857142857143,4.857142857142857,1644.7142857142858,0.42857142857142855,1
Illaoi,NONE,1.7647058823529411,2.5294117647058822,1.0,650.8235294117648,0.29411764705882354,3
Illaoi,TOP,4.734375,7.328125,4.34375,1706.75,0.46875,1
Irelia,BOTTOM,6.75,10.0,6.0,2001.5,0.5,1
Irelia,JUNGLE,5.769230769230769,6.384615384615385,3.923076923076923,1519.1538461538462,0.5384615384615384,1
Irelia,MIDDLE,6.931034482758621,7.712643678160919,4.275862068965517,1554.8735632183907,0.42528735632183906,1
Irelia,NONE,2.9574468085106385,2.5319148936170213,1.148936170212766,672.7446808510638,0.5531914893617021,3
Irelia,TOP,6.464285714285714,7.875,4.848214285714286,1729.1785714285713,0.44642857142857145,1
Ivern,BOTTOM,1.3823529411764706,4.176470588235294,17.38235294117647,1619.0,0.5294117647058824,0
Ivern,JUNGLE,3.140939597315436,4.570469798657718,15.442953020134228,1528.744966442953,0.5838926174496645,0
Ivern,MIDDLE,2.5,2.5,24.5,1707.0,1.0,0
Ivern,NONE,1.0,1.725,4.65,758.2,0.5,3
Ivern,TOP,0.5,4.5,19.0,1000.0,0.0,0
Janna,BOTTOM,1.9607843137254901,4.882352941176471,16.068627450980394,1593.6274509803923,0.5147058823529411,0
Janna,JUNGLE,1.0,9.5,18.0,1931.0,0.0,0
Janna,MIDDLE,1.736842105263158,4.368421052631579,16.157894736842106,1543.4736842105262,0.5263157894736842,0
Janna,NONE,0.9523809523809523,1.9047619047619047,4.666666666666667,736.9047619047619,0.5,3
Janna,TOP,3.0,3.4,20.2,2000.2,1.0,0
JarvanIV,BOTTOM,3.5,8.333333333333334,16.166666666666668,1133.6666666666667,0.3333333333333333,0
JarvanIV,JUNGLE,6.044554455445544,6.183168316831683,13.757425742574258,1611.430693069307,0.4801980198019802,0
JarvanIV,MIDDLE,7.875,7.125,13.5,1862.625,0.75,2
JarvanIV,NONE,1.8275862068965518,2.5517241379310347,2.793103448275862,681.4827586206897,0.27586206896551724,3
JarvanIV,TOP,3.5,4.0,13.5,823.0,0.5,0
Jax,BOTTOM,3.5,4.0,6.0,1548.5,0.5,1
Jax,JUNGLE,6.83,6.22,6.16,1651.53,0.51,1
Jax,MIDDLE,7.48,4.92,4.88,1472.44,0.52,1
Jax,NONE,2.0434782608695654,2.4927536231884058,0.9710144927536232,780.4492753623189,0.4927536231884058,3
Jax,TOP,6.27,6.635,4.545,1526.19,0.505,1
Jayce,JUNGLE,6.96,7.04,6.68,1598.08,0.56,1
Jayce,MIDDLE,7.975903614457831,6.903614457831325,7.493975903614458,1659.3614457831325,0.4939759036144578,1
Jayce,NONE,2.1578947368421053,3.263157894736842,1.0,763.1052631578947,0.4473684210526316,3
Jayce,TOP,6.246153846153846,7.869230769230769,6.530769230769231,1626.0461538461539,0.5153846153846153,1
Jhin,BOTTOM,8.349165596919127,5.679075738125802,8.603337612323491,1613.7509627727857,0.5198973042362003,1
Jhin,JUNGLE,11.0,5.705882352941177,10.0,1522.5294117647059,0.7647058823529411,2
Jhin,MIDDLE,8.418181818181818,6.109090909090909,8.636363636363637,1547.4727272727273,0.509090909090909,1
Jhin,NONE,2.878205128205128,2.198717948717949,2.2243589743589745,724.4294871794872,0.5064102564102564,3
Jhin,TOP,10.083333333333334,5.75,9.625,1662.0833333333333,0.7083333333333334,2
Jinx,BOTTOM,8.212018140589569,6.373015873015873,7.357142857142857,1569.484126984127,0.5204081632653061,1
Jinx,JUNGLE,6.631578947368421,7.157894736842105,7.157894736842105,1555.0526315789473,0.3684210526315789,1
Jinx,MIDDLE,8.32,6.44,7.64,1603.1,0.52,1
Jinx,NONE,3.093264248704663,2.5544041450777204,2.2642487046632125,764.2435233160621,0.47668393782383417,3
Jinx,TOP,8.043478260869565,6.043478260869565,8.565217391304348,1586.7826086956522,0.6956521739130435,2
KSante,BOTTOM,7.0,7.0,8.0,1792.0,1.0,2
